Hashtag,Count
election,5654
0,5126
foryoupage,3680
fyp,3137
foryou,2899
fypシ,2265
election2022,1947
viral,1824
goviral,1745
chunab,1726
nepal,1519
keepsupporting,1153
tiktok,1123
tiktoknepal,1071
trending,1047
चुनाव,1008
vote,949
localelection,871
nepalicongress,732
nepalitiktok,701
tiktoknepal🇳🇵,693
chunablagyo🤪🦚,623
election2079,604
nepalelection2022,521
foryourpage,513
chunab_aayo_haii☀️🤣🤣🤣🤣,498
localelections2079🇳🇵,497
grow,472
video,416
electionday,379
